index,year,oscars_held,category,name,film_title,character_name,honorary_statement,description,note,act_dir,winner_type
2087,2005,78,DIRECTING,Ang Lee,Brokeback Mountain,,,,,True,Single Winner
2088,2005,78,DOCUMENTARY (Feature),Luc Jacquet and Yves Darondeau,March of the Penguins,,,,,False,Single Winner
2089,2005,78,DOCUMENTARY (Short Subject),Corinne Marrinan and Eric Simonson,A Note of Triumph: The Golden Age of Norman Corwin,,,,,False,Single Winner
2090,2005,78,FILM EDITING,Hughes Winborne,Crash,,,,,False,Single Winner
2091,2005,78,FOREIGN LANGUAGE FILM,South Africa,Tsotsi,,,,,False,Single Winner
2092,2005,78,GORDON E. SAWYER AWARD,,,,Gary Demos,,,False,Single Winner
2093,2005,78,HONORARY AWARD,,,,To Robert Altman in recognition of a career that has repeatedly reinvented the art form and inspired filmmakers and audiences alike.,,,False,Single Winner
2094,2005,78,JOHN A. BONNER MEDAL OF COMMENDATION,,,,To Don Hall in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,,False,Single Winner
2095,2005,78,MAKEUP,Howard Berger and Tami Lane,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,,,,False,Single Winner
2096,2005,78,MUSIC (Original Score),Gustavo Santaolalla,Brokeback Mountain,,,,,False,Single Winner
2097,2005,78,MUSIC (Original Song),"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard",Hustle & Flow,,,,,False,Single Winner
2098,2005,78,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,To DAVID GROBER for the concept and mechanical design and SCOTT LEWALLEN for the electronic and software design of the Perfect Horizon camera stabilization head.,"Perfect Horizon effectively neutralizes the extraneous motion encountered in boats, camera cars, snowmobiles or other vehicles, leaving the pan/tilt head and camera stable and level with the horizon.",,False,Single Winner
2099,2005,78,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,"To GARY THIELTGES for the design and development of the remotely-operated, lightweight camera head known as the Sparrow Head.","This well-integrated remote system enables filmmakers to remotely pan and tilt their camera from virtually any moving vehicle, giving the opportunity for unprecedented dynamic camera angles.",,False,Single Winner
2100,2005,78,SHORT FILM (Animated),John Canemaker and Peggy Stern,The Moon and the Son: An Imagined Conversation,,,,,False,Single Winner
2101,2005,78,SHORT FILM (Live Action),Martin McDonagh,Six Shooter,,,,,False,Single Winner
2102,2005,78,SOUND EDITING,Mike Hopkins and Ethan Van der Ryn,King Kong,,,,,False,Single Winner
2103,2005,78,SOUND MIXING,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek",King Kong,,,,,False,Single Winner
2104,2005,78,VISUAL EFFECTS,"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor",King Kong,,,,,False,Single Winner
2105,2005,78,WRITING (Adapted Screenplay),Screenplay by Larry McMurtry & Diana Ossana,Brokeback Mountain,,,,,False,Single Winner
2106,2005,78,WRITING (Original Screenplay),Screenplay by Paul Haggis & Bobby Moresco; Story by Paul Haggis,Crash,,,,,False,Single Winner
2107,2006,79,ACTOR IN A LEADING ROLE,Forest Whitaker,The Last King of Scotland,Idi Amin,,,,True,Single Winner
2108,2006,79,ACTOR IN A SUPPORTING ROLE,Alan Arkin,Little Miss Sunshine,Grandpa,,,,True,Single Winner
2109,2006,79,ACTRESS IN A LEADING ROLE,Helen Mirren,The Queen,The Queen,,,,True,Single Winner
2110,2006,79,ACTRESS IN A SUPPORTING ROLE,Jennifer Hudson,Dreamgirls,Effie White,,,,True,Single Winner
2111,2006,79,ANIMATED FEATURE FILM,George Miller,Happy Feet,,,,,False,Single Winner
2112,2006,79,ART DIRECTION,Art Direction:  Eugenio Caballero; Set Decoration:  Pilar Revuelta,Pan's Labyrinth,,,,,True,Single Winner
2113,2006,79,AWARD OF COMMENDATION,,,,"To Ioan Allen, J. Wayne Anderson, Mary Ann Anderson, Ted Costas, Paul R. Goldberg, Shawn Jones, Thomas Kuhn, Dr. Alan Masson, Colin Mossman, Martin Richards, Frank Ricotta and Richard C. Sehlin for their contributions to the environmentally responsible industry conversion from silver-based to cyan dye analog soundtracks.",,,False,Single Winner
2114,2006,79,BEST PICTURE,"Graham King, Producer",The Departed,,,,,False,Single Winner
2115,2006,79,CINEMATOGRAPHY,Guillermo Navarro,Pan's Labyrinth,,,,,False,Single Winner
2116,2006,79,COSTUME DESIGN,Milena Canonero,Marie Antoinette,,,,,False,Single Winner
2117,2006,79,DIRECTING,Martin Scorsese,The Departed,,,,,True,Single Winner
2118,2006,79,DOCUMENTARY (Feature),Davis Guggenheim,An Inconvenient Truth,,,,,False,Single Winner
2119,2006,79,DOCUMENTARY (Short Subject),Ruby Yang and Thomas Lennon,The Blood of Yingzhou District,,,,,False,Single Winner
2120,2006,79,FILM EDITING,Thelma Schoonmaker,The Departed,,,,,False,Single Winner
2121,2006,79,FOREIGN LANGUAGE FILM,Germany,The Lives of Others,,,,,False,Single Winner
2122,2006,79,GORDON E. SAWYER AWARD,,,,Ray Feeney,,,False,Single Winner
2123,2006,79,HONORARY AWARD,,,,To Ennio Morricone in recognition of his magnificent and multifaceted contributions to the art of film music.,,,False,Single Winner
2124,2006,79,JEAN HERSHOLT HUMANITARIAN AWARD,Sherry Lansing,,,,,,False,Single Winner
2125,2006,79,JOHN A. BONNER MEDAL OF COMMENDATION,,,,To Richard Edlund in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,,False,Single Winner
2126,2006,79,MAKEUP,David Martí and Montse Ribé,Pan's Labyrinth,,,,,False,Single Winner
2127,2006,79,MUSIC (Original Score),Gustavo Santaolalla,Babel,,,,,False,Single Winner
2128,2006,79,MUSIC (Original Song),Music and Lyric by Melissa Etheridge,An Inconvenient Truth,,,,,False,Single Winner
2129,2006,79,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,"To PHILLIP J. FEINER, JIM HOUSTON, DENIS LECONTE and CHRIS BUSHMAN of Pacific Title and Art Studio for the design and development of the Rosetta process for creating digital YCM archival masters for digital film restoration.","With elements that may be recombined either digitally or optically, the Rosetta Separations process offers a uniquely great versatility in achieving high-quality results for digital YCM archiving.",,False,Single Winner
2130,2006,79,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,To JOSHUA PINES and CHRIS KUTCKA of Technicolor Digital Intermediates for the design and development of the TDI process for creating archival separations from digital image data.,The TDI process is based on the production of digital separation negatives creating archival elements that can be scanned and digitally recombined in the future.,,False,Single Winner
2131,2006,79,SHORT FILM (Animated),Torill Kove,The Danish Poet,,,,,False,Single Winner
2132,2006,79,SHORT FILM (Live Action),Ari Sandel,West Bank Story,,,,,False,Single Winner
2133,2006,79,SOUND EDITING,Alan Robert Murray and Bub Asman,Letters from Iwo Jima,,,,,False,Single Winner
2134,2006,79,SOUND MIXING,"Michael Minkler, Bob Beemer and Willie Burton",Dreamgirls,,,,,False,Single Winner
2135,2006,79,VISUAL EFFECTS,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall",Pirates of the Caribbean: Dead Man's Chest,,,,,False,Single Winner
2136,2006,79,WRITING (Adapted Screenplay),Screenplay by William Monahan,The Departed,,,,,False,Single Winner
2137,2006,79,WRITING (Original Screenplay),Written by Michael Arndt,Little Miss Sunshine,,,,,False,Single Winner
2138,2007,80,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,There Will Be Blood,Daniel Plainview,,,,True,Single Winner
2139,2007,80,ACTOR IN A SUPPORTING ROLE,Javier Bardem,No Country for Old Men,Anton Chigurh,,,,True,Single Winner
2140,2007,80,ACTRESS IN A LEADING ROLE,Marion Cotillard,La Vie en Rose,Edith Piaf,,,,True,Single Winner
2141,2007,80,ACTRESS IN A SUPPORTING ROLE,Tilda Swinton,Michael Clayton,Karen Crowder,,,,True,Single Winner
2142,2007,80,ANIMATED FEATURE FILM,Brad Bird,Ratatouille,,,,,False,Single Winner
2143,2007,80,ART DIRECTION,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,Sweeney Todd The Demon Barber of Fleet Street,,,,,True,Single Winner
2144,2007,80,AWARD OF COMMENDATION,,,,To Jonathan Erland in recognition of his leadership and efforts toward identifying and solving the problem of High-Speed Emulsion Stress Syndrome in motion picture film stock.,"By coordinating and conducting tests for and with the industry, and by sharing results openly, Mr. Erland clearly demonstrated the value and effectiveness of independent research and industry-wide cooperation.",,False,Single Winner
2145,2007,80,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers",No Country for Old Men,,,,,False,Single Winner
2146,2007,80,CINEMATOGRAPHY,Robert Elswit,There Will Be Blood,,,,,False,Single Winner
2147,2007,80,COSTUME DESIGN,Alexandra Byrne,Elizabeth: The Golden Age,,,,,False,Single Winner
2148,2007,80,DIRECTING,Joel Coen and Ethan Coen,No Country for Old Men,,,,,True,Single Winner
2149,2007,80,DOCUMENTARY (Feature),Alex Gibney and Eva Orner,Taxi to the Dark Side,,,,,False,Single Winner
2150,2007,80,DOCUMENTARY (Short Subject),Cynthia Wade and Vanessa Roth,Freeheld,,,,,False,Single Winner
2151,2007,80,FILM EDITING,Christopher Rouse,The Bourne Ultimatum,,,,,False,Single Winner
2152,2007,80,FOREIGN LANGUAGE FILM,Austria,The Counterfeiters,,,,,False,Single Winner
2153,2007,80,GORDON E. SAWYER AWARD,,,,David A. Grafton,,,False,Single Winner
2154,2007,80,HONORARY AWARD,,,,To Robert Boyle in recognition of one of cinema's great careers in art direction.,,,False,Single Winner
2155,2007,80,JOHN A. BONNER MEDAL OF COMMENDATION,,,,To David Inglish in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,,False,Single Winner
2156,2007,80,MAKEUP,Didier Lavergne and Jan Archibald,La Vie en Rose,,,,,False,Single Winner
2157,2007,80,MUSIC (Original Score),Dario Marianelli,Atonement,,,,,False,Single Winner
2158,2007,80,MUSIC (Original Song),Music and Lyric by Glen Hansard and Marketa Irglova,Once,,,,,False,Single Winner
2159,2007,80,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),,,,To the EASTMAN KODAK COMPANY for the development of photographic emulsion technologies incorporated into the Kodak Vision2 family of color negative films.,"These new technologies are breakthroughs in film speed, grain and sharpness that have made a significant impact on the motion picture industry. The Vision2 family allows wider use of high-speed color negative film, lower light levels on set and faster set-ups. Most importantly, Vision2 improves the overall picture quality in theatrical presentation.",,False,Single Winner
2160,2007,80,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,"To DR. DOUG ROBLE, NAFEES BIN ZAFAR and RYO SAKAGUCHI for the development of the fluid simulation system at Digital Domain.",This influential and flexible production-proven system incorporates innovative algorithms and refined adaptations of published methods to achieve large-scale water effects.,,False,Single Winner
2161,2007,80,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,"To CHRISTIEN TINSLEY for the creation of the transfer techniques for creating and applying 2D and 3D makeup known as ""Tinsley Transfers.","These techniques allow quick and precisely repeatable application of 2D makeup such as tattoos, bruises and birthmarks, as well as 3D prosthetic appliances ranging in size from small wounds to entire torsos. They utilize self-adhesive material that features an unprecedented combination of tissue-thin edges, resilience, flexibility and water resistance, while requiring no dangerous solvents.",,False,Single Winner
2162,2007,80,SHORT FILM (Animated),Suzie Templeton and Hugh Welchman,Peter & the Wolf,,,,,False,Single Winner
2163,2007,80,SHORT FILM (Live Action),Philippe Pollet-Villard,Le Mozart des Pickpockets (The Mozart of Pickpockets),,,,,False,Single Winner
2164,2007,80,SOUND EDITING,Karen Baker Landers and Per Hallberg,The Bourne Ultimatum,,,,,False,Single Winner
2165,2007,80,SOUND MIXING,"Scott Millan, David Parker and Kirk Francis",The Bourne Ultimatum,,,,,False,Single Winner
2166,2007,80,VISUAL EFFECTS,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood",The Golden Compass,,,,,False,Single Winner
2167,2007,80,WRITING (Adapted Screenplay),Written for the screen by Joel Coen & Ethan Coen,No Country for Old Men,,,,,False,Single Winner
2168,2007,80,WRITING (Original Screenplay),Written by Diablo Cody,Juno,,,,,False,Single Winner
2169,2008,81,ACTOR IN A LEADING ROLE,Sean Penn,Milk,Harvey Milk,,,,True,Single Winner
2170,2008,81,ACTOR IN A SUPPORTING ROLE,Heath Ledger,The Dark Knight,Joker,,,,True,Single Winner
2171,2008,81,ACTRESS IN A LEADING ROLE,Kate Winslet,The Reader,Hanna Schmitz,,,,True,Single Winner
2172,2008,81,ACTRESS IN A SUPPORTING ROLE,Penélope Cruz,Vicky Cristina Barcelona,Maria Elena,,,,True,Single Winner
2173,2008,81,ANIMATED FEATURE FILM,Andrew Stanton,WALL-E,,,,,False,Single Winner
2174,2008,81,ART DIRECTION,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,The Curious Case of Benjamin Button,,,,,True,Single Winner
2175,2008,81,BEST PICTURE,"Christian Colson, Producer",Slumdog Millionaire,,,,,False,Single Winner
2176,2008,81,CINEMATOGRAPHY,Anthony Dod Mantle,Slumdog Millionaire,,,,,False,Single Winner
2177,2008,81,COSTUME DESIGN,Michael O'Connor,The Duchess,,,,,False,Single Winner
2178,2008,81,DIRECTING,Danny Boyle,Slumdog Millionaire,,,,,True,Single Winner
2179,2008,81,DOCUMENTARY (Feature),James Marsh and Simon Chinn,Man on Wire,,,,,False,Single Winner
2180,2008,81,DOCUMENTARY (Short Subject),Megan Mylan,Smile Pinki,,,,,False,Single Winner
2181,2008,81,FILM EDITING,Chris Dickens,Slumdog Millionaire,,,,,False,Single Winner
2182,2008,81,FOREIGN LANGUAGE FILM,Japan,Departures,,,,,False,Single Winner
2183,2008,81,GORDON E. SAWYER AWARD,,,,Ed Catmull,,,False,Single Winner
2184,2008,81,JEAN HERSHOLT HUMANITARIAN AWARD,Jerry Lewis,,,,,,False,Single Winner
2185,2008,81,JOHN A. BONNER MEDAL OF COMMENDATION,,,,To Mark Kimball in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,,False,Single Winner
2186,2008,81,MAKEUP,Greg Cannom,The Curious Case of Benjamin Button,,,,,False,Single Winner
2187,2008,81,MUSIC (Original Score),A.R. Rahman,Slumdog Millionaire,,,,,False,Single Winner
2188,2008,81,MUSIC (Original Song),Music by A.R. Rahman; Lyric by Gulzar,Slumdog Millionaire,,,,,False,Single Winner
2189,2008,81,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,"To ERWIN MELZNER for the overall concept including the optical and cooling systems, VOLKER SCHUMACHER for the optical design, and TIMO MÜLLER for the mechanical design, of the Arrimax 18/12 lighting fixture for use in motion picture production.","With its choice of vari-focus and specular reflectors, the superior optical and mechanical design of this lighting fixture allows it to operate at 18,000 watts, producing unsurpassed light quality while its innovative cooling system keeps the housing safe to touch.",,False,Single Winner
2190,2008,81,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,To STEVE HYLÉN for the concept and his continued leadership in the further development of the Hylén Lens System for motion picture effects photography.,"When attached to a film or digital production camera, this versatile aerial image device can produce a wide variety of optical effects interactively, on set and in real time without post-production image manipulation.",,False,Single Winner
2191,2008,81,SHORT FILM (Animated),Kunio Kato,La Maison en Petits Cubes,,,,,False,Single Winner
2192,2008,81,SHORT FILM (Live Action),Jochen Alexander Freydank,Spielzeugland (Toyland),,,,,False,Single Winner
2193,2008,81,SOUND EDITING,Richard King,The Dark Knight,,,,,False,Single Winner
2194,2008,81,SOUND MIXING,"Ian Tapp, Richard Pryke and Resul Pookutty",Slumdog Millionaire,,,,,False,Single Winner
2195,2008,81,VISUAL EFFECTS,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",The Curious Case of Benjamin Button,,,,,False,Single Winner
2196,2008,81,WRITING (Adapted Screenplay),Screenplay by Simon Beaufoy,Slumdog Millionaire,,,,,False,Single Winner
2197,2008,81,WRITING (Original Screenplay),Written by Dustin Lance Black,Milk,,,,,False,Single Winner
2198,2009,82,ACTOR IN A LEADING ROLE,Jeff Bridges,Crazy Heart,Bad Blake,,,,True,Single Winner
2199,2009,82,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Inglourious Basterds,Col. Hans Landa,,,,True,Single Winner
2200,2009,82,ACTRESS IN A LEADING ROLE,Sandra Bullock,The Blind Side,Leigh Anne Tuohy,,,,True,Single Winner
2201,2009,82,ACTRESS IN A SUPPORTING ROLE,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire,Mary,,,,True,Single Winner
2202,2009,82,ANIMATED FEATURE FILM,Pete Docter,Up,,,,,False,Single Winner
2203,2009,82,ART DIRECTION,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,Avatar,,,,,True,Single Winner
2204,2009,82,BEST PICTURE,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",The Hurt Locker,,,,,False,Single Winner
2205,2009,82,CINEMATOGRAPHY,Mauro Fiore,Avatar,,,,,False,Single Winner
2206,2009,82,COSTUME DESIGN,Sandy Powell,The Young Victoria,,,,,False,Single Winner
2207,2009,82,DIRECTING,Kathryn Bigelow,The Hurt Locker,,,,,True,Single Winner
2208,2009,82,DOCUMENTARY (Feature),Louie Psihoyos and Fisher Stevens,The Cove,,,,,False,Single Winner
2209,2009,82,DOCUMENTARY (Short Subject),Roger Ross Williams and Elinor Burkett,Music by Prudence,,,,,False,Single Winner
2210,2009,82,FILM EDITING,Bob Murawski and Chris Innis,The Hurt Locker,,,,,False,Single Winner
2211,2009,82,FOREIGN LANGUAGE FILM,Argentina,The Secret in Their Eyes,,,,,False,Single Winner
2212,2009,82,HONORARY AWARD,,,,To Lauren Bacall in recognition of her central place in the golden age of motion pictures.,,,False,Single Winner
2213,2009,82,IRVING G. THALBERG MEMORIAL AWARD,John Calley,,,,,,False,Single Winner
2214,2009,82,MAKEUP,"Barney Burman, Mindy Hall and Joel Harlow",Star Trek,,,,,False,Single Winner
2215,2009,82,MUSIC (Original Score),Michael Giacchino,Up,,,,,False,Single Winner
2216,2009,82,MUSIC (Original Song),Music and Lyric by Ryan Bingham and T Bone Burnett,Crazy Heart,,,,,False,Single Winner
2217,2009,82,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,"To PER CHRISTENSEN, MICHAEL BUNNELL and CHRISTOPHE HERY for the development of point-based rendering for indirect illumination and ambient occlusion.","Much faster than previous ray-traced methods, this computer graphics technique has enabled color bleeding effects and realistic shadows for complex scenes in motion pictures.",,False,Single Winner
2218,2009,82,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,To MARK WOLFORTH and TONY SEDIVY for their contributions to the development of the Truelight real-time 3D look-up table hardware system.,"Through the use of color management software and hardware, this complete system enables accurate color presentation in the digital intermediate preview process. The Truelight system is widely utilized in digital intermediate production environments around the world.",,False,Single Winner
2219,2009,82,SHORT FILM (Animated),Nicolas Schmerkin,Logorama,,,,,False,Single Winner
2220,2009,82,SHORT FILM (Live Action),Joachim Back and Tivi Magnusson,The New Tenants,,,,,False,Single Winner
2221,2009,82,SOUND EDITING,Paul N.J. Ottosson,The Hurt Locker,,,,,False,Single Winner
2222,2009,82,SOUND MIXING,Paul N.J. Ottosson and Ray Beckett,The Hurt Locker,,,,,False,Single Winner
2223,2009,82,VISUAL EFFECTS,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",Avatar,,,,,False,Single Winner
2224,2009,82,WRITING (Adapted Screenplay),Screenplay by Geoffrey Fletcher,Precious: Based on the Novel 'Push' by Sapphire,,,,,False,Single Winner
2225,2009,82,WRITING (Original Screenplay),Written by Mark Boal,The Hurt Locker,,,,,False,Single Winner
2226,2010,83,ACTOR IN A LEADING ROLE,Colin Firth,The King's Speech,King George VI,,,,True,Single Winner
2227,2010,83,ACTOR IN A SUPPORTING ROLE,Christian Bale,The Fighter,Dicky Eklund,,,,True,Single Winner
2228,2010,83,ACTRESS IN A LEADING ROLE,Natalie Portman,Black Swan,Nina Sayers/The Swan Queen,,,,True,Single Winner
2229,2010,83,ACTRESS IN A SUPPORTING ROLE,Melissa Leo,The Fighter,Alice Ward,,,,True,Single Winner
2230,2010,83,ANIMATED FEATURE FILM,Lee Unkrich,Toy Story 3,,,,,False,Single Winner
2231,2010,83,ART DIRECTION,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,Alice in Wonderland,,,,,True,Single Winner
2232,2010,83,BEST PICTURE,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",The King's Speech,,,,,False,Single Winner
2233,2010,83,CINEMATOGRAPHY,Wally Pfister,Inception,,,,,False,Single Winner
2234,2010,83,COSTUME DESIGN,Colleen Atwood,Alice in Wonderland,,,,,False,Single Winner
2235,2010,83,DIRECTING,Tom Hooper,The King's Speech,,,,,True,Single Winner
2236,2010,83,DOCUMENTARY (Feature),Charles Ferguson and Audrey Marrs,Inside Job,,,,,False,Single Winner
2237,2010,83,DOCUMENTARY (Short Subject),Karen Goodman and Kirk Simon,Strangers No More,,,,,False,Single Winner
2238,2010,83,FILM EDITING,Angus Wall and Kirk Baxter,The Social Network,,,,,False,Single Winner
2239,2010,83,FOREIGN LANGUAGE FILM,Denmark,In a Better World,,,,,False,Single Winner
2240,2010,83,HONORARY AWARD,,,,To Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,,,False,Single Winner
2241,2010,83,IRVING G. THALBERG MEMORIAL AWARD,Francis Ford Coppola,,,,,,False,Single Winner
2242,2010,83,JOHN A. BONNER MEDAL OF COMMENDATION,,,,To Denny Clairmont in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,,False,Single Winner
2243,2010,83,MAKEUP,Rick Baker and Dave Elsey,The Wolfman,,,,,False,Single Winner
2244,2010,83,MUSIC (Original Score),Trent Reznor and Atticus Ross,The Social Network,,,,,False,Single Winner
2245,2010,83,MUSIC (Original Song),Music and Lyric by Randy Newman,Toy Story 3,,,,,False,Single Winner
2246,2010,83,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,To DR. MARK SAGAR for his early and continuing development of influential facial motion retargeting solutions.,"Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters.",,False,Single Winner
2247,2010,83,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,To GREG ERCOLANO for the design and engineering of a series of software systems culminating in the Rush render queue management system.,"Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios.",,False,Single Winner
2248,2010,83,SHORT FILM (Animated),Shaun Tan and Andrew Ruhemann,The Lost Thing,,,,,False,Single Winner
2249,2010,83,SHORT FILM (Live Action),Luke Matheny,God of Love,,,,,False,Single Winner
2250,2010,83,SOUND EDITING,Richard King,Inception,,,,,False,Single Winner
2251,2010,83,SOUND MIXING,"Lora Hirschberg, Gary A. Rizzo and Ed Novick",Inception,,,,,False,Single Winner
2252,2010,83,VISUAL EFFECTS,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb",Inception,,,,,False,Single Winner
2253,2010,83,WRITING (Adapted Screenplay),Screenplay by Aaron Sorkin,The Social Network,,,,,False,Single Winner
2254,2010,83,WRITING (Original Screenplay),Screenplay by David Seidler,The King's Speech,,,,,False,Single Winner
2255,2011,84,ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist,George Valentin,,,,True,Single Winner
2256,2011,84,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,Beginners,Hal,,,,True,Single Winner
2257,2011,84,ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady,Margaret Thatcher,,,,True,Single Winner
2258,2011,84,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help,Minny Jackson,,,,True,Single Winner
2259,2011,84,ANIMATED FEATURE FILM,Gore Verbinski,Rango,,,,,False,Single Winner
2260,2011,84,ART DIRECTION,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,Hugo,,,,,True,Single Winner
2261,2011,84,BEST PICTURE,"Thomas Langmann, Producer",The Artist,,,,,False,Single Winner
2262,2011,84,CINEMATOGRAPHY,Robert Richardson,Hugo,,,,,False,Single Winner
2263,2011,84,COSTUME DESIGN,Mark Bridges,The Artist,,,,,False,Single Winner
2264,2011,84,DIRECTING,Michel Hazanavicius,The Artist,,,,,True,Single Winner
2265,2011,84,DOCUMENTARY (Feature),"TJ Martin, Dan Lindsay and Rich Middlemas",Undefeated,,,,,False,Single Winner
2266,2011,84,DOCUMENTARY (Short Subject),Daniel Junge and Sharmeen Obaid-Chinoy,Saving Face,,,,,False,Single Winner
2267,2011,84,FILM EDITING,Kirk Baxter and Angus Wall,The Girl with the Dragon Tattoo,,,,,False,Single Winner
2268,2011,84,FOREIGN LANGUAGE FILM,Iran,A Separation,,,,,False,Single Winner
2269,2011,84,GORDON E. SAWYER AWARD,,,,Douglas Trumbull,,,False,Single Winner
2270,2011,84,HONORARY AWARD,,,,To James Earl Jones for his legacy of consistent excellence and uncommon versatility.,,,False,Single Winner
2271,2011,84,JEAN HERSHOLT HUMANITARIAN AWARD,Oprah Winfrey,,,,,,False,Single Winner
2272,2011,84,JOHN A. BONNER MEDAL OF COMMENDATION,,,,To Jonathan Erland in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,,False,Single Winner
2273,2011,84,MAKEUP,Mark Coulier and J. Roy Helland,The Iron Lady,,,,,False,Single Winner
2274,2011,84,MUSIC (Original Score),Ludovic Bource,The Artist,,,,,False,Single Winner
2275,2011,84,MUSIC (Original Song),Music and Lyric by Bret McKenzie,The Muppets,,,,,False,Single Winner
2276,2011,84,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),,,,"To FRANZ KRAUS, JOHANNES STEURER and WOLFGANG RIEDEL for the design and development of the ARRILASER Film Recorder.","The ARRILASER film recorder demonstrates a high level of engineering resulting in a compact, user-friendly, low-maintenance device, while at the same time maintaining outstanding speed, exposure ratings and image quality.",,False,Single Winner
2277,2011,84,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,"To RADU CORLAN, ANDY JANTZEN, PETRU POP and RICHARD F. TOFTNESS for the design and engineering of the Phantom family of high-speed cameras for motion picture production.","The Phantom family of high-speed digital cameras, including the Phantom Flex and HD Gold, provide imagery at speeds and efficacy surpassing photochemical technology, while seamlessly intercutting with conventional film production.",,False,Single Winner
2278,2011,84,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,To ANDREW CLINTON and MARK ELENDT for the invention and integration of micro-voxels in the Mantra software.,"This work allowed, for the first time, unified and efficient rendering of volumetric effects such as smoke and clouds, together with other computer graphics objects, in a micro-polygon imaging pipeline.",,False,Single Winner
2279,2011,84,SHORT FILM (Animated),William Joyce and Brandon Oldenburg,The Fantastic Flying Books of Mr. Morris Lessmore,,,,,False,Single Winner
2280,2011,84,SHORT FILM (Live Action),Terry George and Oorlagh George,The Shore,,,,,False,Single Winner
2281,2011,84,SOUND EDITING,Philip Stockton and Eugene Gearty,Hugo,,,,,False,Single Winner
2282,2011,84,SOUND MIXING,Tom Fleischman and John Midgley,Hugo,,,,,False,Single Winner
2283,2011,84,VISUAL EFFECTS,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning",Hugo,,,,,False,Single Winner
2284,2011,84,WRITING (Adapted Screenplay),Screenplay by Alexander Payne and Nat Faxon & Jim Rash,The Descendants,,,,,False,Single Winner
2285,2011,84,WRITING (Original Screenplay),Written by Woody Allen,Midnight in Paris,,,,,False,Single Winner
2286,2012,85,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Lincoln,Abraham Lincoln,,,,True,Single Winner
